EAN,Referencia,Nombre,Coste,Precio,tipo_IVA,P.V.P.,Beneficio,%MC,%MV,Stock,Dias_ult_venta,Proveedor,Clasificación,Distancia
3600523625741,1118574,ACON ELVIVE 300ML DREAM LONG,2.257,3.26,21 ,3.95,1.0,44.4,30.8,15,0,LOREAL CONSUMO,ASEO PERSONAL,95.43930197109364
3600523625819,1118573,ACON ELVIVE 300ML FIBRALOGY,2.394,3.26,21 ,3.95,0.87,36.2,26.6,0,700,LOREAL CONSUMO,ASEO PERSONAL,95.30230197109364
3600523923786,1133105,ACON ELVIVE 300ML FULL RESIST,2.257,3.26,21 ,3.95,1.0,44.4,30.8,8,3,LOREAL CONSUMO,ASEO PERSONAL,98.75755404993738
3600523625734,1118570,ACON ELVIVE 300ML TOTAL REPAIR,2.257,3.26,21 ,3.95,1.0,44.4,30.8,0,3,LOREAL CONSUMO,ASEO PERSONAL,98.75755404993738
3600523625772,1118571,ACON ELVIVE ARCILLA 300ML,2.263,3.26,21 ,3.95,1.0,44.1,30.6,8,31,LOREAL CONSUMO,ASEO PERSONAL,75.52378949803116
3600524074821,1160793,ACON ELVIVE BOND REPAIR 150ML,3.088,4.54,21 ,5.49,1.45,47.0,32.0,6,22,LOREAL CONSUMO,ASEO PERSONAL,76.7370415768749
3600523587834,1114954,ACON ELVIVE CREMA PEINADO 200ML DREAM LENGTH,2.889,4.12,21 ,4.99,1.23,42.6,29.9,0,14,LOREAL CONSUMO,ASEO PERSONAL,127.1298227595311
3600523883882,1133107,ACON ELVIVE CREMA PEINADO 200ML FULL RESIST,2.837,4.12,21 ,4.99,1.28,45.2,31.1,2,22,LOREAL CONSUMO,ASEO PERSONAL,123.86357068068736
3600523709823,,ACON ELVIVE RAPID REVIVER 180 ML DREAM LONG,1.952,3.3,21 ,3.99,1.35,69.1,40.9,0,916,LOREAL CONSUMO,ASEO PERSONAL,125.56857068068736
3600523709854,,ACON ELVIVE RAPID REVIVER 180ML ACEITE,1.952,3.3,21 ,3.99,1.35,69.1,40.9,0,809,LOREAL CONSUMO,ASEO PERSONAL,108.97731028646862
3600523732814,,ACON ELVIVE RAPID REVIVER 180ML COLOR VIVE,1.794,3.3,21 ,3.99,1.51,84.0,45.6,13,344,LOREAL CONSUMO,ASEO PERSONAL,122.4083186018436
3600523709847,,ACON ELVIVE RAPID REVIVER 180ML TR5,3.08,4.12,21 ,4.99,1.04,33.8,25.2,4,110,LOREAL CONSUMO,ASEO PERSONAL,97.07455404993738
3600524075606,1160794,ACON ELVIVE SERUM BOND REPAIR 150ML,5.152,8.22,21 ,9.95,3.07,59.5,37.3,0,59,LOREAL CONSUMO,ASEO PERSONAL,98.32830197109364
3600523817481,1133106,ACON ELVIVE SERUM DREAM LONG 100ML  ANTIFRIZZ,2.794,4.12,21 ,4.99,1.33,47.5,32.2,1,113,LOREAL CONSUMO,ASEO PERSONAL,123.90657068068735
8001090388377,1104263,ACON ESP PANTENE  180ML CLASIC,2.239,2.47,21 ,2.99,0.23,10.3,9.3,1,208,LOGISTA,ASEO PERSONAL,96.24730197109363
8411126044588,1107846,ACON FLEX 400ML 2FASES NUTRITIVO,3.412,4.12,21 ,4.99,0.71,20.8,17.2,4,3,BEAUTYGE,ASEO PERSONAL,103.37905820762488
8411126044601,1107847,ACON FLEX 400ML 2FASES PRINCESS,3.394,4.12,21 ,4.99,0.73,21.4,17.6,6,18,BEAUTYGE,ASEO PERSONAL,100.07880612878115
8411126026072,1032759,ACON FLEX NORMAL 650ML,1.63,2.47,21 ,2.99,0.84,51.5,34.0,4,11,BEAUTYGE,ASEO PERSONAL,73.62853741918742
8411126026089,1032760,ACON FLEX SECOS 650ML,1.805,2.47,21 ,2.99,0.67,36.8,26.9,11,6,BEAUTYGE,ASEO PERSONAL,80.0900415768749
3600542027786,1102596,ACON FRUCTIS 250ML ADIOS DAÑOS,1.518,2.44,21 ,2.95,0.92,60.7,37.8,0,528,LOREAL CONSUMO,ASEO PERSONAL,100.31655404993738
3600542408240,1141969,ACON FRUCTIS 300ML ALOE,2.162,3.1,21 ,3.75,0.94,43.4,30.3,0,178,LOREAL CONSUMO,ASEO PERSONAL,89.05779781340615
3600542256506,1128271,ACON FRUCTIS 300ML DAÑADO,2.557,3.1,21 ,3.75,0.54,21.2,17.5,1,22,LOREAL CONSUMO,ASEO PERSONAL,91.9810498922499
3600542256490,1128269,ACON FRUCTIS 300ML LISO,2.249,3.1,21 ,3.75,0.85,37.8,27.4,7,21,LOREAL CONSUMO,ASEO PERSONAL,88.97079781340615
3600542408257,1141970,ACON FRUCTIS 300ML NORMAL,2.249,3.1,21 ,3.75,0.85,37.8,27.4,4,4,LOREAL CONSUMO,ASEO PERSONAL,85.6525457345624
3600542256483,1128270,ACON FRUCTIS 300ML RIZOS,2.249,3.1,21 ,3.75,0.85,37.8,27.4,11,17,LOREAL CONSUMO,ASEO PERSONAL,88.97079781340615
3600542444774,1152498,ACON FRUCTIS 300ML VITAMINAC Y BIOTINA,2.254,3.1,21 ,3.75,0.85,37.5,27.3,13,33,LOREAL CONSUMO,ASEO PERSONAL,115.5118144441561
3600542404402,1143481,ACON FRUCTIS CREMA SIN ACLARADO 400ML FUERZA Y BRILLO,3.154,4.95,21 ,5.99,1.8,56.9,36.3,15,0,LOREAL CONSUMO,ASEO PERSONAL,142.83408315374982
3600542202060,1127748,ACON FRUCTIS CREMA SIN ACLARADO 400ML LISO BRILLO,3.151,4.95,21 ,5.99,1.8,57.1,36.3,5,27,LOREAL CONSUMO,ASEO PERSONAL,132.87632691721856
