;EAN;Referencia;;Nombre;Coste;Precio;;P.V.P.;Beneficio;%MC;%MV;Stock;;Proveedor;Clasificación;
Actualizado desde fichero o API;8414716132443;;;ACOND BIFASICO ANIAN INFANTIL 400ML;2,065 €;2,89 €;21 %;3,50 €;0,82 €;40,0 %;28,6 %;-1;148;COVALDROPER GRUPO;ASEO PERSONAL;
Normal;3600524078188;1161697;;ACOND ELVIVE MAGIC WATER 200ML HIALURONICO;5,350 €;6,60 €;21 %;7,99 €;1,25 €;23,4 %;18,9 %;8;18;LOREAL CONSUMO;ACONDICIONADORES CABELLO;
Actualizado desde fichero o API;8001841484716;1133020;;ACOND PANTENE 300ML BAMBOO;2,099 €;2,77 €;21 %;3,35 €;0,67 €;32,0 %;24,2 %;0;-1;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500290099;1096813;;ACOND PANTENE 300ML CLASICO;2,099 €;2,77 €;21 %;3,35 €;0,67 €;32,0 %;24,2 %;-3;10;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500290068;1099474;;ACOND PANTENE 300ML COLOR PROTECT;2,099 €;2,77 €;21 %;3,35 €;0,67 €;32,0 %;24,2 %;0;-1;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500323087;1096815;;ACOND PANTENE 300ML REPARA Y PROTEGE;2,099 €;2,77 €;21 %;3,35 €;0,67 €;32,0 %;24,2 %;-4;78;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500290006;1096816;;ACOND PANTENE 300ML RIZOS;2,099 €;2,77 €;21 %;3,35 €;0,67 €;32,0 %;24,2 %;0;511;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;4084500290143;1096817;;ACOND PANTENE 300ML SUAVE Y LISO;2,099 €;2,77 €;21 %;3,35 €;0,67 €;32,0 %;24,2 %;0;806;LOGISTA;ASEO PERSONAL;
Normal;4084500289505;;;ACOND PANTENE COLOR 230ML;1,990 €;2,47 €;21 %;2,99 €;0,48 €;24,1 %;19,4 %;0;970;LOGISTA;ASEO PERSONAL;
Actualizado desde fichero o API;8710447224397;1111995;;ACOND TRESEMME 400ML LISO KERATINA;1,800 €;4,12 €;21 %;4,99 €;2,32 €;128,9 %;56,3 %;5;91;UNILEVER (FABERGE PERFUMERIA);ASEO PERSONAL;
Actualizado desde fichero o API;8711700920155;1036488;;ACOND TRESEMME 810ML CUIDADO CLASICO;2,694 €;4,12 €;21 %;4,99 €;1,43 €;52,9 %;34,6 %;-3;162;UNILEVER (FABERGE PERFUMERIA);ASEO PERSONAL;
Actualizado desde fichero o API;8710522632826;1138595;;ACOND TRESEMME 855ML LISO Y SEDOSO;2,912 €;4,12 €;21 %;4,99 €;1,21 €;41,5 %;29,3 %;2;347;UNILEVER (FABERGE PERFUMERIA);ASEO PERSONAL;
Normal;8720181206788;1152252;;ACOND TRESEMME HIDRATACION INTENSA 900ML;2,868 €;4,12 €;21 %;4,99 €;1,25 €;43,6 %;30,4 %;-10;10;UNILEVER (FABERGE PERFUMERIA);ASEO PERSONAL;
Actualizado desde fichero o API;8414716132146;;;ACONDICIONADOR BIFASICO ANIAN 400ML;2,009 €;2,89 €;21 %;3,50 €;0,88 €;43,9 %;30,5 %;0;85;COVALDROPER GRUPO;ASEO PERSONAL;
Actualizado desde fichero o API;8410751099772;;;ACTONER GEL HIDROALCOHOLICO 250MLGLA;0,000 €;2,47 €;21 %;2,99 €;2,47 €;0,0 %;100,0 %;0;613;DPH S. L .;ASEO PERSONAL;
Normal;8410751099635;1140214;;ACTONER GEL HIDROALCOHOLICO 500ML;1,500 €;4,12 €;21 %;4,99 €;2,62 €;174,7 %;63,6 %;22;6;BRISEIS;ASEO PERSONAL;
Normal;8410751099666;1140211;;ACTONER SOLUCION  HIDROALCOHOLICA SPRAY 75ML;1,010 €;1,45 €;21 %;1,75 €;0,44 €;43,6 %;30,3 %;-18;290;BRISEIS;HIGIENIZANTE MANOS Y ALIMENTOS;
Actualizado desde fichero o API;3614222813262;1109504;;ADIDAS UEFA ARENA EDT SPRAY 100ML;3,265 €;5,78 €;21 %;6,99 €;2,52 €;77,0 %;43,5 %;-1;77;BEMALU;PERFUMERIA CONSUMO;
Actualizado desde fichero o API;8410190631724;1128006;;ADO AGUA DEO SPRAY 150MLFRESCA CITRUS CEDRO;4,802 €;11,16 €;21 %;13,50 €;6,36 €;132,4 %;57,0 %;0;-1;PUIG FRAGANCIAS(V Y L);PERFUMERIA SELECTIVA;
